id	@id	TMC:cid_58:tabcd_1:Class	TMC:cid_58:tabcd_1:LCLversion	TMC:cid_58:tabcd_1:LocationCode	access	addr:city	addr:postcode	addr:street	alt_name	archaeological_site	architect	area	barrier	bicycle	cemetery:historic	check_date	check_date:opening_hours	communication:amateur_radio:pota	contact:website	description	disused:landuse	dog	dsa:criteria	ele	fee	fixme	gnis:feature_id	heritage	heritage:operator	historic	image	landcover	landuse	layer	leaf_type	leisure	lit	loc_name	meadow	name	name:etymology	name:etymology:wikidata	name:etymology:wikipedia	name:ru	natural	network	noname	note	official_name	old_name	opening_hours	operator	operator:type	phone	ref	ref:dsa	source	start_date	surface	toilets:wheelchair	tourism	trees	type	url	website	wheelchair	wikidata	wikimedia_commons	wikipedia	@relations	winter_service	year_of_construction
relation/120275	relation/120275																																			park				Grünzug Josthöhe																							multipolygon									
relation/168566	relation/168566																																			park				Große Wallanlagen																							multipolygon				Q1573199		de:Hamburger Wallanlagen			
relation/179851	relation/179851																																			park				Donners-Park																							multipolygon				Q1241886		de:Donners Park			
relation/397257	relation/397257																																			park				Kupferpark																							multipolygon									
relation/403353	relation/403353																																			park				Trabrennbahn																							multipolygon									
relation/660354	relation/660354																																			park				Park am Ziegelteich																							multipolygon									
relation/1524697	relation/1524697																																			park				Schiffbeker Moor																							multipolygon									
relation/1558995	relation/1558995																																			park				Hempenkamp - Eichenrehmen																							multipolygon									
relation/1714795	relation/1714795																					no			no											park				Loki-Schmidt-Garten				Ботанический сад							"Jan-Feb Mo-Su 09:00-16:00; Mar 01-Mar 25 Mo-Su 09:00-17:00; Mar 26-Apr 30 Mo-Su 09:00-19:00; May-Aug Mo-Su 09:00-20:00; Sep Mo-Su 09:00-19:00; Oct 01-Oct 28 Mo-Su 09:00-18:00; Oct 29-Dec 30 Mo-Su 09:00-16:00; Dec 24,Dec 31 off; off ""bei Glätte"""			+49 40 42816476									multipolygon		https://www.bghamburg.de/		Q613250		de:Loki-Schmidt-Garten			
relation/1771080	relation/1771080																																			park				Traunspark																							multipolygon									
relation/1775695	relation/1775695																																forest			park				Viertes Wandsbeker Gehölz																							multipolygon				Q2548173		de:Wandsbeker Gehölz			
relation/1777283	relation/1777283																																			park				Reemtsma-Park																							multipolygon									
relation/1785693	relation/1785693										Otto Linne												Gartendenkmal					"4"	dsa	yes	http://commons.wikimedia.org/wiki/File:Hh-kellinghusenpark.jpg					park				Kellinghusenpark																"29581"		"1907"					multipolygon				Q979725		de:Kellinghusenpark			
relation/1794897	relation/1794897																																			park				Haselknick																							multipolygon									
relation/1806126	relation/1806126																																			park				Wilhelmsburger Rathauspark																							multipolygon				Q26821645					
relation/1855466	relation/1855466																																forest			park				Drittes Wandsbeker Gehölz																							multipolygon				Q2548173		de:Wandsbeker Gehölz			
relation/1965654	relation/1965654																																forest			park				Luther- Park																							multipolygon									
relation/1968198	relation/1968198																																forest		broadleaved	park				Park Bahrenfelder See																							multipolygon									
relation/2097253	relation/2097253																																			park				Bergedorfer Rathauspark																							multipolygon									
relation/2139331	relation/2139331																																			park				Parkanlagen Rahweg																							multipolygon									
relation/2164160	relation/2164160																																forest			park				Zweites Wandsbeker Gehölz																							multipolygon				Q2548173		de:Wandsbeker Gehölz			
relation/2170320	relation/2170320																																			park				Tegelsbarg																							multipolygon									
relation/2191572	relation/2191572																																			park				Eppendorfer Mühlenteich																							multipolygon									
relation/2196671	relation/2196671																																			park				Park Wiebelstraße																							multipolygon									
relation/2198834	relation/2198834																																			park				Jugendpark																							multipolygon									
relation/2204980	relation/2204980																																			park				Grünes Zentrum																			grass				multipolygon									
relation/2269391	relation/2269391																																			park				Grüne Mitte																							multipolygon				Q126734399	Category:Grüne Mitte (Neuallermöhe)				
relation/2341856	relation/2341856																																			park				Horner Park																							multipolygon				Q19963937					
relation/2421701	relation/2421701																																			park				Brinkmannscher Park																							multipolygon									
relation/2837270	relation/2837270																																			park				Franz-Röttel-Park																							multipolygon									
relation/2901244	relation/2901244																																			park				Grünes Zentrum Kirchdorf																							multipolygon									
relation/3098648	relation/3098648																																			park				Ohlmoor																							multipolygon									
relation/3123641	relation/3123641																																			park				Drachental																							multipolygon									
relation/14192717	relation/14192717																																forest		broadleaved	park				Goldschmidtpark	Käthe Starke-Goldschmidt	Q1795550	de:Käthe Starke-Goldschmidt																				multipolygon									
relation/15730764	relation/15730764																																			park				Dorothea-Buck-Park		Q1246172	de:Dorothea Buck															2022-09					multipolygon									
relation/17772440	relation/17772440																																forest			park				Pastorenstieg																							multipolygon									
relation/17976247	relation/17976247								Grosslers Park																											park				Goßlers Park																							multipolygon				Q1321149		de:Goßlers Park			
way/4279326	way/4279326								Eilbek Park					yes																						park				Friedrichsberger Park																	http://www.luewu.de/anzeiger/docs/2036.pdf										Q51772336		de:Friedrichsberger Park			
way/4943592	way/4943592																																			park				Meyers Park																									https://www.hamburg.de/parkanlagen/3068184/meyers-park/							
way/7979641	way/7979641																																			park				Bertha-von-Suttner-Park																											Q118977736					
way/9240372	way/9240372																																			park				Ohlendorff'scher Park																																
way/16538116	way/16538116																																			park				Schleidenpark																											Q15606208		de:Schleidenpark			
way/19729919	way/19729919																																			park				Grünzug Eimsbüttel																																
